城市,年份,月份,100m_u_component_of_wind,100m_v_component_of_wind,南北风速,东西风速,温度,紫外线,相对湿度,太阳辐射,降雨
拉萨,2006,1,0.9380054179514813,1.3538483553935976,0.6247785122654359,0.5665934972894439,270.6335124935438,75558.88327653588,26.485636959015213,713494.4716736381,1.7160414962362239e-06
拉萨,2006,2,-0.08727947854583196,0.11393677445246485,0.11446075554213919,-0.10102419965669028,274.7191291797822,93660.58828345269,58.11233593638715,804288.4251908283,7.661489343413475e-05
拉萨,2006,3,0.013074507144041098,-0.02732766390282984,0.18031523866974428,-0.2324323375142597,266.00378439054276,81780.07852018616,68.20800083716522,685421.7643360138,3.568386163515175e-05
拉萨,2006,4,-0.12157336727715173,0.22501860045280794,0.05995938890506198,-0.12013331434307073,265.2002104117542,71580.09508422409,54.838116766904484,649901.144893162,1.0558181044243953e-05
拉萨,2006,5,0.812718124431926,0.951987765037232,0.5746549411417529,0.4503238164375734,273.03100849911687,88324.42394176232,26.39070705355863,817213.9680389417,1.6666737296651903e-05
拉萨,2006,6,0.7147990762420219,1.1026737598772618,0.5569367096128569,0.5762772955476884,272.3893303323727,107127.71456607502,35.61888181165082,965289.9463275656,2.9140345774801595e-05
拉萨,2006,7,0.23394478391169168,0.6799029886455669,0.24732885507527028,0.32515606456071183,274.68409922498256,127401.07231806785,49.34842803438746,1074516.6068839633,7.182382837228677e-05
拉萨,2006,8,-0.14191638057411074,0.18783163513230752,0.016920632134158415,0.029637398911085983,279.94108221757523,130274.04161993338,56.82445783402031,1101506.122889057,0.00014429723305436665
拉萨,2006,9,-0.12893076193635097,1.796500471429523,-0.0554108800360845,1.1827570993243002,285.3318112461894,124429.5391091201,57.72590760072936,1045995.6697210061,0.00012795917385028332
拉萨,2006,10,-0.3763843570734111,0.9227288152184895,-0.21523073448032767,0.5811198077353726,286.39488904666786,120842.69512382707,59.81106331451078,1007434.6913232874,0.00016672025070171666
拉萨,2006,11,-0.2611462833079159,1.143792428113709,-0.14370250699449524,0.731963863617664,285.4718587040251,119298.37642303854,59.00516401085046,1000174.8930071694,0.00012010185891738331
拉萨,2006,12,-0.02395504084002925,0.831382273979166,0.043511787075068094,0.48462380217639006,282.9252529083616,103635.53367120372,60.87614083068004,881061.5537122759,0.00013568214506465
武汉,2006,1,-1.403104602628856,-2.6211342888303566,-0.6755797634809793,-1.757848338227036,277.57618689816303,40479.80707830771,70.66017290131694,378308.58416875463,7.537174313871819e-05
武汉,2006,2,-1.259312427211862,-1.3658740733918482,-0.6941637609765117,-0.9244602733622254,294.5194061133478,63708.36910615374,64.51852162708285,569514.9487909386,5.934842537892813e-05
武汉,2006,3,-0.7978040283528824,-1.6603357838044448,-0.3835270125018043,-1.1667085863505116,286.91363478907925,40108.717724633825,62.31564165101525,366536.2243142139,7.17265167114692e-05
武汉,2006,4,-1.5461121711690855,-1.8161165995733142,-0.8706549255168945,-1.2599746120708057,280.11562253773184,40642.920420191265,56.3474694273123,396847.4238810814,3.59669694472504e-05
武汉,2006,5,-1.5957910388288488,-1.5742274801887541,-0.9593854647825756,-1.1329409825001484,279.23246456741947,43620.01408926583,76.20229588337833,396242.0329623389,0.0001193410667708375
武汉,2006,6,-0.952677784714933,0.4198187376840288,-0.6313598687295956,0.1065102965681009,286.3527277100752,72741.9260923254,60.9427540607596,673050.4482588959,5.777873324395091e-05
武汉,2006,7,-0.8639718341027849,0.5434967612380288,-0.5579261193354328,0.08988979615088454,292.1803860383974,87129.48091773223,70.8398669789257,770891.9663450788,0.00025649153838435
武汉,2006,8,-1.290434273176985,0.8253282607134088,-0.7901899070518725,0.32945210756086307,296.58435587424424,93449.735796736,67.93454144935555,818714.8056120066,0.0001461684405933875
武汉,2006,9,-0.47511005189950084,2.2754943594166654,-0.3422676971873351,1.3019705472389946,300.72362264950505,105361.77821481826,72.04886923852814,898594.3211011847,0.00013935783732405
武汉,2006,10,-0.9345178618055378,1.5693352129149436,-0.5989835034131711,0.8061466796314146,303.04618485323215,92209.08862154864,75.97612503263724,789198.4425908504,0.00021929687237820002
